category,question_polarity,AMBIG,DISAMBIG,DISAMBIG_ANTI,DISAMBIG_STEREO,stereo_minus_anti
AGE,NEG,0.5673913043478261,,0.7652173913043478,0.8782608695652174,0.11304347826086958
AGE,NONNEG,0.5619565217391305,,0.4108695652173913,0.5065217391304347,0.09565217391304343
DISABILITY_STATUS,NEG,0.712082262210797,,0.4947916666666667,0.6142131979695431,0.11942153130287642
DISABILITY_STATUS,NONNEG,0.6066838046272494,,0.5885416666666666,0.5482233502538071,-0.040318316412859545
GENDER_IDENTITY,NEG,0.7665726375176305,0.0,0.6676056338028169,0.7553041018387553,0.08769846803593839
GENDER_IDENTITY,NONNEG,0.614950634696756,0.3333333333333333,0.5522598870056498,0.562942008486563,0.010682121480913187
NATIONALITY,NEG,0.7142857142857143,,0.6727272727272727,0.7246753246753247,0.051948051948051965
NATIONALITY,NONNEG,0.7363636363636363,,0.6051948051948052,0.6805194805194805,0.07532467532467535
PHYSICAL_APPEARANCE,NEG,0.8071065989847716,,0.5524861878453039,0.5211267605633803,-0.031359427281923646
PHYSICAL_APPEARANCE,NONNEG,0.7461928934010152,,0.5303867403314917,0.5352112676056338,0.004824527274142065
RACE_ETHNICITY,NEG,0.7482558139534884,,0.7709302325581395,0.7802325581395348,0.009302325581395321
RACE_ETHNICITY,NONNEG,0.6895348837209302,,0.5872093023255814,0.6453488372093024,0.05813953488372092
RACE_X_GENDER,NEG,0.8245614035087719,,0.7409638554216867,0.7787787787787788,0.03781492335709202
RACE_X_GENDER,NONNEG,0.7117794486215538,,0.6862449799196787,0.6696696696696697,-0.016575310250009023
RACE_X_SES,NEG,0.7720430107526882,,0.7397849462365591,0.7806451612903226,0.04086021505376347
RACE_X_SES,NONNEG,0.7086021505376344,,0.5548387096774193,0.6150537634408603,0.06021505376344094
RELIGION,NEG,0.6733333333333333,,0.5933333333333334,0.6866666666666666,0.09333333333333327
RELIGION,NONNEG,0.7033333333333334,,0.4266666666666667,0.52,0.09333333333333332
SES,NEG,0.8636363636363636,,0.6780660377358491,0.7647058823529411,0.08663984461709207
SES,NONNEG,0.6870629370629371,,0.6910377358490566,0.7658371040723982,0.07479936822334166
SEXUAL_ORIENTATION,NEG,0.6990740740740741,,0.5092592592592593,0.5833333333333334,0.07407407407407407
SEXUAL_ORIENTATION,NONNEG,0.6944444444444444,,0.3425925925925926,0.4074074074074074,0.06481481481481477
