category,AMBIG,DISAMBIG,DISAMBIG_ANTI,DISAMBIG_STEREO
AGE,0.5219264911478243,0.5275960959950272,0.5414387895555658,0.5587423646905619
DISABILITY_STATUS,0.46681150380230374,0.4707040979367931,0.4985174983410909,0.5155143904131513
GENDER_IDENTITY,0.5038120229465445,0.5221240411932095,0.5342536592310754,0.5554838324007266
NATIONALITY,0.4903800451844155,0.5123188804234228,0.5438792497519679,0.580595050452402
PHYSICAL_APPEARANCE,0.5169653724741052,0.5159715730023672,0.5362449347840709,0.5776646032482792
RACE_ETHNICITY,0.459150889492019,0.47800461828884994,0.5109621579072682,0.5431015981800993
RACE_X_GENDER,0.4913364493224516,0.5134714827506845,0.5476268697792818,0.5816786685472759
RACE_X_SES,0.4873237126866485,0.5058325790001404,0.5402134843902859,0.5764245177164363
RELIGION,0.5069581168217595,0.5418992763565432,0.5388992585766483,0.5504686751044714
SES,0.4839982724117777,0.496310437787069,0.5145858989286639,0.5380336410749555
SEXUAL_ORIENTATION,0.5149224369546,0.5093023825775493,0.5339613653692528,0.5611695337363265
