model_name,category,context_condition_3,acc_arc,acc_race
google/gemma-2-2b,AGE,AMBIG,0.3282608695652174,0.34402173913043477
google/gemma-2-2b,AGE,DISAMBIG_ANTI,0.33043478260869563,0.3282608695652174
google/gemma-2-2b,AGE,DISAMBIG_STEREO,0.33369565217391306,0.31630434782608696
google/gemma-2-2b,DISABILITY_STATUS,AMBIG,0.27249357326478146,0.29048843187660667
google/gemma-2-2b,DISABILITY_STATUS,DISAMBIG_ANTI,0.3671875,0.3541666666666667
google/gemma-2-2b,DISABILITY_STATUS,DISAMBIG_STEREO,0.37817258883248733,0.350253807106599
google/gemma-2-2b,GENDER_IDENTITY,AMBIG,0.3177009873060649,0.33039492242595203
google/gemma-2-2b,GENDER_IDENTITY,DISAMBIG,0.0,0.0
google/gemma-2-2b,GENDER_IDENTITY,DISAMBIG_ANTI,0.33991537376586745,0.3215796897038082
google/gemma-2-2b,GENDER_IDENTITY,DISAMBIG_STEREO,0.34582743988684583,0.32390381895332393
google/gemma-2-2b,NATIONALITY,AMBIG,0.30064935064935067,0.3155844155844156
google/gemma-2-2b,NATIONALITY,DISAMBIG_ANTI,0.34805194805194806,0.34675324675324676
google/gemma-2-2b,NATIONALITY,DISAMBIG_STEREO,0.35584415584415585,0.35454545454545455
google/gemma-2-2b,PHYSICAL_APPEARANCE,AMBIG,0.27918781725888325,0.315989847715736
google/gemma-2-2b,PHYSICAL_APPEARANCE,DISAMBIG_ANTI,0.356353591160221,0.3397790055248619
google/gemma-2-2b,PHYSICAL_APPEARANCE,DISAMBIG_STEREO,0.3615023474178404,0.3474178403755869
google/gemma-2-2b,RACE_ETHNICITY,AMBIG,0.30290697674418604,0.35930232558139535
google/gemma-2-2b,RACE_ETHNICITY,DISAMBIG_ANTI,0.34593023255813954,0.31976744186046513
google/gemma-2-2b,RACE_ETHNICITY,DISAMBIG_STEREO,0.35930232558139535,0.3395348837209302
google/gemma-2-2b,RACE_X_GENDER,AMBIG,0.29223057644110273,0.34899749373433586
google/gemma-2-2b,RACE_X_GENDER,DISAMBIG_ANTI,0.36772088353413657,0.32831325301204817
google/gemma-2-2b,RACE_X_GENDER,DISAMBIG_STEREO,0.3450950950950951,0.31406406406406406
google/gemma-2-2b,RACE_X_SES,AMBIG,0.31379928315412187,0.34139784946236557
google/gemma-2-2b,RACE_X_SES,DISAMBIG_ANTI,0.33906810035842294,0.3279569892473118
google/gemma-2-2b,RACE_X_SES,DISAMBIG_STEREO,0.34301075268817205,0.32831541218637994
google/gemma-2-2b,RELIGION,AMBIG,0.31333333333333335,0.295
google/gemma-2-2b,RELIGION,DISAMBIG_ANTI,0.33,0.35333333333333333
google/gemma-2-2b,RELIGION,DISAMBIG_STEREO,0.32666666666666666,0.33666666666666667
google/gemma-2-2b,SES,AMBIG,0.23339160839160839,0.32342657342657344
google/gemma-2-2b,SES,DISAMBIG_ANTI,0.3856132075471698,0.3290094339622642
google/gemma-2-2b,SES,DISAMBIG_STEREO,0.375,0.3563348416289593
google/gemma-2-2b,SEXUAL_ORIENTATION,AMBIG,0.30787037037037035,0.2708333333333333
google/gemma-2-2b,SEXUAL_ORIENTATION,DISAMBIG_ANTI,0.3425925925925926,0.33796296296296297
google/gemma-2-2b,SEXUAL_ORIENTATION,DISAMBIG_STEREO,0.35648148148148145,0.3472222222222222
microsoft/phi-4,AGE,AMBIG,0.683695652173913,0.782608695652174
microsoft/phi-4,AGE,DISAMBIG_ANTI,0.0967391304347826,0.8847826086956522
microsoft/phi-4,AGE,DISAMBIG_STEREO,0.23043478260869565,0.9380434782608695
microsoft/phi-4,DISABILITY_STATUS,AMBIG,0.6568123393316195,0.8663239074550129
microsoft/phi-4,DISABILITY_STATUS,DISAMBIG_ANTI,0.14583333333333334,0.8046875
microsoft/phi-4,DISABILITY_STATUS,DISAMBIG_STEREO,0.19796954314720813,0.8096446700507615
microsoft/phi-4,GENDER_IDENTITY,AMBIG,0.7919605077574048,0.9372355430183357
microsoft/phi-4,GENDER_IDENTITY,DISAMBIG,0.0,0.25
microsoft/phi-4,GENDER_IDENTITY,DISAMBIG_ANTI,0.09097320169252468,0.8723554301833568
microsoft/phi-4,GENDER_IDENTITY,DISAMBIG_STEREO,0.11456859971711457,0.900990099009901
microsoft/phi-4,NATIONALITY,AMBIG,0.8142857142857143,0.8402597402597403
microsoft/phi-4,NATIONALITY,DISAMBIG_ANTI,0.09350649350649351,0.8493506493506493
microsoft/phi-4,NATIONALITY,DISAMBIG_STEREO,0.09610389610389611,0.8545454545454545
microsoft/phi-4,PHYSICAL_APPEARANCE,AMBIG,0.7842639593908629,0.9060913705583756
microsoft/phi-4,PHYSICAL_APPEARANCE,DISAMBIG_ANTI,0.10220994475138122,0.7320441988950276
microsoft/phi-4,PHYSICAL_APPEARANCE,DISAMBIG_STEREO,0.11971830985915492,0.6807511737089202
microsoft/phi-4,RACE_ETHNICITY,AMBIG,0.8244186046511628,0.9453488372093023
microsoft/phi-4,RACE_ETHNICITY,DISAMBIG_ANTI,0.08255813953488372,0.9151162790697674
microsoft/phi-4,RACE_ETHNICITY,DISAMBIG_STEREO,0.08895348837209302,0.9127906976744186
microsoft/phi-4,RACE_X_GENDER,AMBIG,0.8417293233082707,0.9328320802005012
microsoft/phi-4,RACE_X_GENDER,DISAMBIG_ANTI,0.08910642570281124,0.9134036144578314
microsoft/phi-4,RACE_X_GENDER,DISAMBIG_STEREO,0.07007007007007007,0.9159159159159159
microsoft/phi-4,RACE_X_SES,AMBIG,0.803584229390681,0.9240143369175627
microsoft/phi-4,RACE_X_SES,DISAMBIG_ANTI,0.0982078853046595,0.9114695340501792
microsoft/phi-4,RACE_X_SES,DISAMBIG_STEREO,0.1053763440860215,0.9405017921146953
microsoft/phi-4,RELIGION,AMBIG,0.5633333333333334,0.7933333333333333
microsoft/phi-4,RELIGION,DISAMBIG_ANTI,0.18333333333333332,0.6766666666666666
microsoft/phi-4,RELIGION,DISAMBIG_STEREO,0.24333333333333335,0.7066666666666667
microsoft/phi-4,SES,AMBIG,0.8056526806526807,0.8901515151515151
microsoft/phi-4,SES,DISAMBIG_ANTI,0.0695754716981132,0.7617924528301887
microsoft/phi-4,SES,DISAMBIG_STEREO,0.1323529411764706,0.8042986425339367
microsoft/phi-4,SEXUAL_ORIENTATION,AMBIG,0.5810185185185185,0.7986111111111112
microsoft/phi-4,SEXUAL_ORIENTATION,DISAMBIG_ANTI,0.18518518518518517,0.6990740740740741
microsoft/phi-4,SEXUAL_ORIENTATION,DISAMBIG_STEREO,0.2361111111111111,0.7083333333333334
mistralai/Mistral-7B-Instruct-v0.3,AGE,AMBIG,0.5369565217391304,0.5646739130434782
mistralai/Mistral-7B-Instruct-v0.3,AGE,DISAMBIG_ANTI,0.14673913043478262,0.5880434782608696
mistralai/Mistral-7B-Instruct-v0.3,AGE,DISAMBIG_STEREO,0.33695652173913043,0.6923913043478261
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,AMBIG,0.5809768637532133,0.6593830334190232
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,DISAMBIG_ANTI,0.17708333333333334,0.5416666666666666
mistralai/Mistral-7B-Instruct-v0.3,DISABILITY_STATUS,DISAMBIG_STEREO,0.24873096446700507,0.5812182741116751
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,AMBIG,0.6625528913963329,0.6907616361071932
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,DISAMBIG,0.25,0.25
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,DISAMBIG_ANTI,0.13469675599435826,0.6100141043723555
mistralai/Mistral-7B-Instruct-v0.3,GENDER_IDENTITY,DISAMBIG_STEREO,0.19872701555869873,0.6591230551626591
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,AMBIG,0.714935064935065,0.7253246753246754
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,DISAMBIG_ANTI,0.13246753246753246,0.638961038961039
mistralai/Mistral-7B-Instruct-v0.3,NATIONALITY,DISAMBIG_STEREO,0.15324675324675324,0.7025974025974026
mistralai/Mistral-7B-Instruct-v0.3,PHYSICAL_APPEARANCE,AMBIG,0.6941624365482234,0.7766497461928934
